Epoch 1.94 / 50, i = 333 / 17800, loss = 2.004132
Epoch 1.94 / 50, i = 334 / 17800, loss = 1.933723
Epoch 1.94 / 50, i = 335 / 17800, loss = 1.940471
Epoch 1.94 / 50, i = 336 / 17800, loss = 1.946305
Epoch 1.95 / 50, i = 337 / 17800, loss = 1.925005
Epoch 1.95 / 50, i = 338 / 17800, loss = 1.952909
Epoch 1.95 / 50, i = 339 / 17800, loss = 1.886479
Epoch 1.96 / 50, i = 340 / 17800, loss = 1.928196
Epoch 1.96 / 50, i = 341 / 17800, loss = 1.933800
Epoch 1.96 / 50, i = 342 / 17800, loss = 1.910070
Epoch 1.96 / 50, i = 343 / 17800, loss = 1.889165
Epoch 1.97 / 50, i = 344 / 17800, loss = 1.966011
Epoch 1.97 / 50, i = 345 / 17800, loss = 1.909472
Epoch 1.97 / 50, i = 346 / 17800, loss = 1.991178
Epoch 1.97 / 50, i = 347 / 17800, loss = 1.884875
Epoch 1.98 / 50, i = 348 / 17800, loss = 1.944229
Epoch 1.98 / 50, i = 349 / 17800, loss = 1.908722
Epoch 1.98 / 50, i = 350 / 17800, loss = 1.889935
Epoch 1.99 / 50, i = 351 / 17800, loss = 1.928206
Epoch 1.99 / 50, i = 352 / 17800, loss = 1.900419
Epoch 1.99 / 50, i = 353 / 17800, loss = 1.885549
Epoch 1.99 / 50, i = 354 / 17800, loss = 1.941937
Epoch 2.00 / 50, i = 355 / 17800, loss = 1.907690
Epoch 2.00 / 50, i = 356 / 17800, loss = 1.980795
Epoch 2.00 / 50, i = 357 / 17800, loss = 2.020008
Epoch 2.01 / 50, i = 358 / 17800, loss = 1.880766
Epoch 2.01 / 50, i = 359 / 17800, loss = 1.906889
Epoch 2.01 / 50, i = 360 / 17800, loss = 1.884971
Epoch 2.01 / 50, i = 361 / 17800, loss = 1.943716
Epoch 2.02 / 50, i = 362 / 17800, loss = 1.891074
Epoch 2.02 / 50, i = 363 / 17800, loss = 1.913016
Epoch 2.02 / 50, i = 364 / 17800, loss = 1.864794
Epoch 2.03 / 50, i = 365 / 17800, loss = 1.908211
Epoch 2.03 / 50, i = 366 / 17800, loss = 1.901757
Epoch 2.03 / 50, i = 367 / 17800, loss = 1.877359
Epoch 2.03 / 50, i = 368 / 17800, loss = 1.861295
Epoch 2.04 / 50, i = 369 / 17800, loss = 1.853789
Epoch 2.04 / 50, i = 370 / 17800, loss = 1.925780
Epoch 2.04 / 50, i = 371 / 17800, loss = 1.923008
Epoch 2.04 / 50, i = 372 / 17800, loss = 1.943905
Epoch 2.05 / 50, i = 373 / 17800, loss = 1.910046
Epoch 2.05 / 50, i = 374 / 17800, loss = 1.886280
Epoch 2.05 / 50, i = 375 / 17800, loss = 1.889118
Epoch 2.06 / 50, i = 376 / 17800, loss = 1.881248
Epoch 2.06 / 50, i = 377 / 17800, loss = 1.869261
Epoch 2.06 / 50, i = 378 / 17800, loss = 1.887783
Epoch 2.06 / 50, i = 379 / 17800, loss = 1.830472
Epoch 2.07 / 50, i = 380 / 17800, loss = 1.849932
Epoch 2.07 / 50, i = 381 / 17800, loss = 1.911155
Epoch 2.07 / 50, i = 382 / 17800, loss = 1.856942
Epoch 2.08 / 50, i = 383 / 17800, loss = 1.832056
Epoch 2.08 / 50, i = 384 / 17800, loss = 1.834112
Epoch 2.08 / 50, i = 385 / 17800, loss = 1.843657
Epoch 2.08 / 50, i = 386 / 17800, loss = 1.872378
Epoch 2.09 / 50, i = 387 / 17800, loss = 1.898827
Epoch 2.09 / 50, i = 388 / 17800, loss = 1.885355
Epoch 2.09 / 50, i = 389 / 17800, loss = 1.856913
Epoch 2.10 / 50, i = 390 / 17800, loss = 1.866280
Epoch 2.10 / 50, i = 391 / 17800, loss = 1.823265
Epoch 2.10 / 50, i = 392 / 17800, loss = 1.903982
Epoch 2.10 / 50, i = 393 / 17800, loss = 1.928329
Epoch 2.11 / 50, i = 394 / 17800, loss = 1.881257
Epoch 2.11 / 50, i = 395 / 17800, loss = 1.842475
Epoch 2.11 / 50, i = 396 / 17800, loss = 1.855123
Epoch 2.12 / 50, i = 397 / 17800, loss = 1.851969
Epoch 2.12 / 50, i = 398 / 17800, loss = 1.802359
Epoch 2.12 / 50, i = 399 / 17800, loss = 1.813562
Epoch 2.12 / 50, i = 400 / 17800, loss = 1.839333
Epoch 2.13 / 50, i = 401 / 17800, loss = 1.861297
Epoch 2.13 / 50, i = 402 / 17800, loss = 1.865998
Epoch 2.13 / 50, i = 403 / 17800, loss = 1.907340
Epoch 2.13 / 50, i = 404 / 17800, loss = 1.870519
Epoch 2.14 / 50, i = 405 / 17800, loss = 1.856524
Epoch 2.14 / 50, i = 406 / 17800, loss = 1.850766
Epoch 2.14 / 50, i = 407 / 17800, loss = 1.806499
Epoch 2.15 / 50, i = 408 / 17800, loss = 1.858283
Epoch 2.15 / 50, i = 409 / 17800, loss = 1.833246
Epoch 2.15 / 50, i = 410 / 17800, loss = 1.836610
Epoch 2.15 / 50, i = 411 / 17800, loss = 1.837518
Epoch 2.16 / 50, i = 412 / 17800, loss = 1.804205
Epoch 2.16 / 50, i = 413 / 17800, loss = 1.842854
Epoch 2.16 / 50, i = 414 / 17800, loss = 1.835740
Epoch 2.17 / 50, i = 415 / 17800, loss = 1.850578
Epoch 2.17 / 50, i = 416 / 17800, loss = 1.912225
Epoch 2.17 / 50, i = 417 / 17800, loss = 1.837740
Epoch 2.17 / 50, i = 418 / 17800, loss = 1.828887
Epoch 2.18 / 50, i = 419 / 17800, loss = 1.846149
Epoch 2.18 / 50, i = 420 / 17800, loss = 1.869649
Epoch 2.18 / 50, i = 421 / 17800, loss = 1.805753
Epoch 2.19 / 50, i = 422 / 17800, loss = 1.851489
Epoch 2.19 / 50, i = 423 / 17800, loss = 1.829914
Epoch 2.19 / 50, i = 424 / 17800, loss = 1.858945
Epoch 2.19 / 50, i = 425 / 17800, loss = 1.891918
Epoch 2.20 / 50, i = 426 / 17800, loss = 1.896315
