Running with CUDA on GPU 0	
Epoch 1.78 / 80, i = 278 / 28480, loss = 2.044597	
Epoch 1.78 / 80, i = 279 / 28480, loss = 2.052278	
Epoch 1.79 / 80, i = 280 / 28480, loss = 2.049400	
Epoch 1.79 / 80, i = 281 / 28480, loss = 2.024707	
Epoch 1.79 / 80, i = 282 / 28480, loss = 2.058676	
Epoch 1.79 / 80, i = 283 / 28480, loss = 2.030769	
Epoch 1.80 / 80, i = 284 / 28480, loss = 2.084101	
Epoch 1.80 / 80, i = 285 / 28480, loss = 2.045758	
Epoch 1.80 / 80, i = 286 / 28480, loss = 2.098884	
Epoch 1.81 / 80, i = 287 / 28480, loss = 2.066953	
Epoch 1.81 / 80, i = 288 / 28480, loss = 2.043216	
Epoch 1.81 / 80, i = 289 / 28480, loss = 2.037981	
Epoch 1.81 / 80, i = 290 / 28480, loss = 2.062865	
Epoch 1.82 / 80, i = 291 / 28480, loss = 2.071025	
Epoch 1.82 / 80, i = 292 / 28480, loss = 1.998400	
Epoch 1.82 / 80, i = 293 / 28480, loss = 2.035783	
Epoch 1.83 / 80, i = 294 / 28480, loss = 2.016498	
Epoch 1.83 / 80, i = 295 / 28480, loss = 2.067832	
Epoch 1.83 / 80, i = 296 / 28480, loss = 2.025647	
Epoch 1.83 / 80, i = 297 / 28480, loss = 2.039063	
Epoch 1.84 / 80, i = 298 / 28480, loss = 2.008329	
Epoch 1.84 / 80, i = 299 / 28480, loss = 2.105440	
Epoch 1.84 / 80, i = 300 / 28480, loss = 2.036073	
Epoch 1.85 / 80, i = 301 / 28480, loss = 2.061072	
Epoch 1.85 / 80, i = 302 / 28480, loss = 2.065850	
Epoch 1.85 / 80, i = 303 / 28480, loss = 2.016827	
Epoch 1.85 / 80, i = 304 / 28480, loss = 2.022952	
Epoch 1.86 / 80, i = 305 / 28480, loss = 2.091874	
Epoch 1.86 / 80, i = 306 / 28480, loss = 2.070280	
Epoch 1.86 / 80, i = 307 / 28480, loss = 2.063215	
Epoch 1.87 / 80, i = 308 / 28480, loss = 2.045359	
Epoch 1.87 / 80, i = 309 / 28480, loss = 2.031553	
Epoch 1.87 / 80, i = 310 / 28480, loss = 2.029328	
Epoch 1.87 / 80, i = 311 / 28480, loss = 2.003288	
Epoch 1.88 / 80, i = 312 / 28480, loss = 2.016954	
Epoch 1.88 / 80, i = 313 / 28480, loss = 2.028765	
Epoch 1.88 / 80, i = 314 / 28480, loss = 1.974807	
Epoch 1.88 / 80, i = 315 / 28480, loss = 1.991755	
Epoch 1.89 / 80, i = 316 / 28480, loss = 2.006724	
Epoch 1.89 / 80, i = 317 / 28480, loss = 2.036669	
Epoch 1.89 / 80, i = 318 / 28480, loss = 2.026947	
Epoch 1.90 / 80, i = 319 / 28480, loss = 2.006239	
Epoch 1.90 / 80, i = 320 / 28480, loss = 2.038088	
Epoch 1.90 / 80, i = 321 / 28480, loss = 2.010090	
Epoch 1.90 / 80, i = 322 / 28480, loss = 2.037866	
Epoch 1.91 / 80, i = 323 / 28480, loss = 2.046871	
Epoch 1.91 / 80, i = 324 / 28480, loss = 1.975031	
Epoch 1.91 / 80, i = 325 / 28480, loss = 2.025186	
Epoch 1.92 / 80, i = 326 / 28480, loss = 2.039051	
Epoch 1.92 / 80, i = 327 / 28480, loss = 1.997188	
Epoch 1.92 / 80, i = 328 / 28480, loss = 2.014057	
Epoch 1.92 / 80, i = 329 / 28480, loss = 1.988630	
Epoch 1.93 / 80, i = 330 / 28480, loss = 1.966061	
Epoch 1.93 / 80, i = 331 / 28480, loss = 2.028281	
Epoch 1.93 / 80, i = 332 / 28480, loss = 2.027577	
Epoch 1.94 / 80, i = 333 / 28480, loss = 2.061699	
Epoch 1.94 / 80, i = 334 / 28480, loss = 1.987133	
Epoch 1.94 / 80, i = 335 / 28480, loss = 1.996403	
Epoch 1.94 / 80, i = 336 / 28480, loss = 2.020322	
Epoch 1.95 / 80, i = 337 / 28480, loss = 2.006554	
Epoch 1.95 / 80, i = 338 / 28480, loss = 2.016456	
Epoch 1.95 / 80, i = 339 / 28480, loss = 1.951227	
Epoch 1.96 / 80, i = 340 / 28480, loss = 1.989368	
Epoch 1.96 / 80, i = 341 / 28480, loss = 1.996328	
Epoch 1.96 / 80, i = 342 / 28480, loss = 1.968182	
Epoch 1.96 / 80, i = 343 / 28480, loss = 1.970250	
Epoch 1.97 / 80, i = 344 / 28480, loss = 2.028313	
Epoch 1.97 / 80, i = 345 / 28480, loss = 1.974643	
Epoch 1.97 / 80, i = 346 / 28480, loss = 2.066565	
Epoch 1.97 / 80, i = 347 / 28480, loss = 1.967511	
Epoch 1.98 / 80, i = 348 / 28480, loss = 2.009542	
Epoch 1.98 / 80, i = 349 / 28480, loss = 1.983966	
Epoch 1.98 / 80, i = 350 / 28480, loss = 1.970677	
Epoch 1.99 / 80, i = 351 / 28480, loss = 1.996580	
Epoch 1.99 / 80, i = 352 / 28480, loss = 1.958929	
Epoch 1.99 / 80, i = 353 / 28480, loss = 1.963285	
Epoch 1.99 / 80, i = 354 / 28480, loss = 2.034747	
Epoch 2.00 / 80, i = 355 / 28480, loss = 1.993843	
Epoch 2.00 / 80, i = 356 / 28480, loss = 2.044717	
Epoch 2.00 / 80, i = 357 / 28480, loss = 2.050906	
Epoch 2.01 / 80, i = 358 / 28480, loss = 1.946052	
Epoch 2.01 / 80, i = 359 / 28480, loss = 1.949945	
Epoch 2.01 / 80, i = 360 / 28480, loss = 1.929761	
Epoch 2.01 / 80, i = 361 / 28480, loss = 2.006099	
Epoch 2.02 / 80, i = 362 / 28480, loss = 1.959151	
Epoch 2.02 / 80, i = 363 / 28480, loss = 2.000544	
Epoch 2.02 / 80, i = 364 / 28480, loss = 1.916115	
Epoch 2.03 / 80, i = 365 / 28480, loss = 1.969865	
Epoch 2.03 / 80, i = 366 / 28480, loss = 1.966004	
Epoch 2.03 / 80, i = 367 / 28480, loss = 1.939562	
Epoch 2.03 / 80, i = 368 / 28480, loss = 1.939055	
Epoch 2.04 / 80, i = 369 / 28480, loss = 1.923012	
Epoch 2.04 / 80, i = 370 / 28480, loss = 1.988061	
Epoch 2.04 / 80, i = 371 / 28480, loss = 2.013133	
Epoch 2.04 / 80, i = 372 / 28480, loss = 2.014045	
Epoch 2.05 / 80, i = 373 / 28480, loss = 1.972496	
Epoch 2.05 / 80, i = 374 / 28480, loss = 1.935030	
Epoch 2.05 / 80, i = 375 / 28480, loss = 1.943800	
Epoch 2.06 / 80, i = 376 / 28480, loss = 1.951919	
Epoch 2.06 / 80, i = 377 / 28480, loss = 1.931556	
Epoch 2.06 / 80, i = 378 / 28480, loss = 1.942935	
Epoch 2.06 / 80, i = 379 / 28480, loss = 1.883762	
Epoch 2.07 / 80, i = 380 / 28480, loss = 1.905853	
Epoch 2.07 / 80, i = 381 / 28480, loss = 1.955191	
Epoch 2.07 / 80, i = 382 / 28480, loss = 1.914186	
Epoch 2.08 / 80, i = 383 / 28480, loss = 1.899683	
Epoch 2.08 / 80, i = 384 / 28480, loss = 1.911752	
Epoch 2.08 / 80, i = 385 / 28480, loss = 1.933573	
Epoch 2.08 / 80, i = 386 / 28480, loss = 1.926115	
Epoch 2.09 / 80, i = 387 / 28480, loss = 1.955734	
Epoch 2.09 / 80, i = 388 / 28480, loss = 1.957315	
Epoch 2.09 / 80, i = 389 / 28480, loss = 1.929790	
Epoch 2.10 / 80, i = 390 / 28480, loss = 1.951960	
Epoch 2.10 / 80, i = 391 / 28480, loss = 1.900637	
Epoch 2.10 / 80, i = 392 / 28480, loss = 1.964247	
Epoch 2.10 / 80, i = 393 / 28480, loss = 1.977452	
Epoch 2.11 / 80, i = 394 / 28480, loss = 1.947803	
Epoch 2.11 / 80, i = 395 / 28480, loss = 1.901494	
Epoch 2.11 / 80, i = 396 / 28480, loss = 1.928817	
Epoch 2.12 / 80, i = 397 / 28480, loss = 1.922217	
Epoch 2.12 / 80, i = 398 / 28480, loss = 1.872878	
Epoch 2.12 / 80, i = 399 / 28480, loss = 1.864880	
Epoch 2.12 / 80, i = 400 / 28480, loss = 1.882453	
Epoch 2.13 / 80, i = 401 / 28480, loss = 1.907399	
Epoch 2.13 / 80, i = 402 / 28480, loss = 1.922338	
Epoch 2.13 / 80, i = 403 / 28480, loss = 1.970445	
Epoch 2.13 / 80, i = 404 / 28480, loss = 1.937020	
Epoch 2.14 / 80, i = 405 / 28480, loss = 1.901683	
Epoch 2.14 / 80, i = 406 / 28480, loss = 1.907375	
Epoch 2.14 / 80, i = 407 / 28480, loss = 1.858853	
Epoch 2.15 / 80, i = 408 / 28480, loss = 1.919853	
Epoch 2.15 / 80, i = 409 / 28480, loss = 1.907443	
Epoch 2.15 / 80, i = 410 / 28480, loss = 1.884636	
Epoch 2.15 / 80, i = 411 / 28480, loss = 1.902632	
Epoch 2.16 / 80, i = 412 / 28480, loss = 1.864695	
Epoch 2.16 / 80, i = 413 / 28480, loss = 1.907768	
Epoch 2.16 / 80, i = 414 / 28480, loss = 1.893218	
Epoch 2.17 / 80, i = 415 / 28480, loss = 1.924996	
Epoch 2.17 / 80, i = 416 / 28480, loss = 2.005872	
Epoch 2.17 / 80, i = 417 / 28480, loss = 1.921305	
Epoch 2.17 / 80, i = 418 / 28480, loss = 1.888202	
Epoch 2.18 / 80, i = 419 / 28480, loss = 1.909329	
Epoch 2.18 / 80, i = 420 / 28480, loss = 1.950990	
Epoch 2.18 / 80, i = 421 / 28480, loss = 1.867829	
